assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_050575165.1	Contig	Salk Institute for Biological Studies	reference genome	223107	Orobanche gracilis			Spain	true	false	true
GCA_977930345.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	79235	Orobanche hederae	51.4821	-0.2876	United Kingdom	true	true	true
GCA_050575145.1	Contig	Salk Institute for Biological Studies		79235	Orobanche hederae			USA	true	false	true
GCA_977930195.1	Scaffold	WELLCOME SANGER INSTITUTE		79235	Orobanche hederae	51.4821	-0.2876	United Kingdom	true	true	true
GCA_050575125.1	Contig	Salk Institute for Biological Studies	reference genome	36748	Orobanche minor			Japan	true	false	true
GCA_982586955.1	Scaffold	WELLCOME SANGER INSTITUTE		36748	Orobanche minor	51.7693	-1.3334	United Kingdom	true	true	true
GCA_982586975.1	Chromosome	WELLCOME SANGER INSTITUTE		36748	Orobanche minor	51.7693	-1.3334	United Kingdom	true	true	true
GCA_001182835.1	Contig	Donald Danforth Plant Science Center	reference genome	1148796	Oropetium thomaeum				true	false	true
GCA_977015935.1	Chromosome	Genoscope CEA	reference genome	2819898	Orosanga japonica	42.25508	27.74855	Bulgaria	true	true	true
GCA_018250075.1	Contig	Florida Museum of Natural History	reference genome	1825285	Orphe vatinius			Colombia	true	false	true
GCA_027574785.1	Scaffold	IRIDIAN GENOMES	reference genome	2665490	Orphnurgus asper				true	false	true
GCA_018251835.1	Contig	Florida Museum of Natural History	reference genome	509445	Orses cynisca	10.89666	-85.29003	Costa Rica	true	true	true
GCA_965654315.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	333459	Orthetrum coerulescens	52.75	1.22	United Kingdom	true	true	true
GCA_965654345.1	Scaffold	WELLCOME SANGER INSTITUTE		333459	Orthetrum coerulescens	52.75	1.22	United Kingdom	true	true	true
GCA_015103075.1	Scaffold	"""CICHLID~X"""	reference genome	2527915	Orthochromis indermauri				true	false	true
GCA_015103055.1	Scaffold	"""CICHLID~X"""		2527915	Orthochromis indermauri				true	false	true
GCA_015111915.1	Scaffold	"""CICHLID~X"""	reference genome	64555	Orthochromis malagaraziensis				true	false	true
GCA_015109575.1	Scaffold	"""CICHLID~X"""	reference genome	167849	Orthochromis mazimeroensis				true	false	true
GCA_015111895.1	Scaffold	"""CICHLID~X"""	reference genome	316391	Orthochromis uvinzae				true	false	true
GCA_049999305.1	Scaffold	BGI Research	reference genome	127167	Orthodicranum fulvum			USA	true	false	true
GCA_018244995.1	Contig	Florida Museum of Natural History	reference genome	1616230	Ortholexis hollandi			Cameroon	true	false	true
GCA_018245975.1	Contig	Florida Museum of Natural History	reference genome	2585879	Ortholexis holocausta			Cameroon	true	false	true
GCA_018244975.1	Contig	Florida Museum of Natural History		2585879	Ortholexis holocausta			Cameroon	true	false	true
GCA_018245015.1	Contig	Florida Museum of Natural History		2585879	Ortholexis holocausta			Cameroon	true	false	true
GCA_018245035.1	Contig	Florida Museum of Natural History		2585879	Ortholexis holocausta			Cameroon	true	false	true
GCA_018245435.1	Contig	Florida Museum of Natural History		2585879	Ortholexis holocausta			Cameroon	true	false	true
GCA_018247375.1	Contig	Florida Museum of Natural History	reference genome	2943159	Ortholexis melichroptera			Gabon	true	false	true
GCA_982398095.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	214290	Orthonama obstipatum	41.53717	2.441955	Spain	true	true	true
GCA_982398025.1	Scaffold	WELLCOME SANGER INSTITUTE		214290	Orthonama obstipatum	41.53717	2.441955	Spain	true	true	true
GCA_976984775.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	986949	Orthonama vittatum	55.616	13.545	Sweden	true	true	true
GCA_976984695.1	Scaffold	WELLCOME SANGER INSTITUTE		986949	Orthonama vittatum	55.616	13.545	Sweden	true	true	true
GCA_965283055.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	3093584	Orthonevra brevicornis	51.695	-1.335	United Kingdom	true	true	true
GCA_965282795.1	Scaffold	WELLCOME SANGER INSTITUTE		3093584	Orthonevra brevicornis	51.695	-1.335	United Kingdom	true	true	true
GCA_963555765.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	2867105	Orthonevra nobilis	51.761	-1.332	United Kingdom	true	true	true
GCA_963555805.1	Contig	WELLCOME SANGER INSTITUTE		2867105	Orthonevra nobilis	51.761	-1.332	United Kingdom	true	true	true
GCA_046579375.1	Chromosome	Nanjing Agricultural University	reference genome	2581074	Orthonychiurus folsomi			China	true	false	true
GCA_034699805.1	Contig	LOEWE Centre for Translational Biodiversity Genomics		2581074	Orthonychiurus folsomi				true	false	true
GCA_036851895.1	Scaffold	Nanjing Agricultural University		2581074	Orthonychiurus folsomi			China	true	false	true
GCA_013397795.1	Scaffold	B10K Consortium	reference genome	38397	Orthonyx spaldingii	-16.97	145.47	Australia	true	true	true
GCA_026284845.1	Scaffold	IRIDIAN GENOMES	reference genome	178890	Orthopsittaca manilatus				true	false	true
GCA_965111875.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	875886	Orthosia cerasi	51.63	-0.74	United Kingdom	true	true	true
GCA_965111865.1	Scaffold	WELLCOME SANGER INSTITUTE		875886	Orthosia cerasi	51.63	-0.74	United Kingdom	true	true	true
GCA_964057195.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	988010	Orthosia cruda	51.772	-1.338	United Kingdom	true	true	true
GCA_964057205.1	Chromosome	WELLCOME SANGER INSTITUTE		988010	Orthosia cruda	51.772	-1.338	United Kingdom	true	true	true
GCA_949775005.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	43337	Orthosia gothica	51.772	-1.338	United Kingdom	true	true	true
GCA_949774995.1	Scaffold	WELLCOME SANGER INSTITUTE		43337	Orthosia gothica	51.772	-1.338	United Kingdom	true	true	true
GCA_947562075.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	997542	Orthosia gracilis	51.772	-1.338	United Kingdom	true	true	true
GCA_947563345.1	Contig	WELLCOME SANGER INSTITUTE		997542	Orthosia gracilis	51.772	-1.338	United Kingdom	true	true	true
GCA_948252205.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	988011	Orthosia incerta	51.779	-1.326	United Kingdom	true	true	true
GCA_948253185.1	Scaffold	WELLCOME SANGER INSTITUTE		988011	Orthosia incerta	51.779	-1.326	United Kingdom	true	true	true
GCA_982936635.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	3229192	Orthostixis cinerea	34.857083	33.322222	Cyprus	true	true	true
GCA_982936605.1	Scaffold	WELLCOME SANGER INSTITUTE		3229192	Orthostixis cinerea	34.857083	33.322222	Cyprus	true	true	true
GCA_964468075.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	1594318	Orthotaenia undulana	51.772	-1.338	United Kingdom	true	true	true
GCA_964467725.1	Scaffold	WELLCOME SANGER INSTITUTE		1594318	Orthotaenia undulana	51.772	-1.338	United Kingdom	true	true	true
GCA_965112805.2	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	142610	Orthothecium rufescens	56.52694444	-4.28527778	United Kingdom	true	true	true
GCA_050084045.1	Chromosome	BGI Research	reference genome	61562	Orthotrichum anomalum			China	true	false	true
GCA_973894655.1	Chromosome	WELLCOME SANGER INSTITUTE		61562	Orthotrichum anomalum	55.96556	-2.66972	United Kingdom	true	true	true
GCA_965153465.1	Chromosome	Genoscope CEA	reference genome	522324	Orthotrichum diaphanum	40.618637	-3.916304	Spain	true	true	true
GCA_977066345.2	Chromosome	Genoscope CEA		522324	Orthotrichum diaphanum	40.618637	-3.916304	Spain	true	true	true
GCA_977000265.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	520846	Orthotrichum pulchellum	56.02388889	-4.99583333	United Kingdom	true	true	true
GCA_000612105.2	Scaffold	The i5k Initiative	reference genome	222816	Orussus abietinus	49.960617	8.542233	Germany	true	true	true
GCA_030180135.1	Chromosome	Huazhong Agricultural University	reference genome	71234	Orychophragmus violaceus			China	true	false	true
GCA_004365145.1	Scaffold	Broad Institute		9818	Orycteropus afer				true	false	true
GCA_054668755.1	Chromosome	Vertebrate Genomes Project		9818	Orycteropus afer	40.8538	-73.8755	USA	true	true	true
GCA_054668785.1	Chromosome	Vertebrate Genomes Project		9818	Orycteropus afer	40.8538	-73.8755	USA	true	true	true
GCA_000298275.1	Scaffold	Broad Institute	reference genome	1230840	Orycteropus afer afer				false	false	true
GCA_902654985.2	Scaffold	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	reference genome	1629725	Oryctes borbonicus				true	false	true
GCA_001443705.1	Contig	Max Planck Institute for Developmental Biology		1629725	Oryctes borbonicus			France	true	false	true
GCA_020654165.1	Scaffold	The University of Queensland	reference genome	72550	Oryctes rhinoceros			Solomon Islands	true	false	true
GCA_019329825.1	Scaffold	ICAR-CPCRI, Kasaragod		72550	Oryctes rhinoceros			India	true	false	true
GCA_026770135.1	Scaffold	Universiti Putra Malaysia		72550	Oryctes rhinoceros			Malaysia	true	false	true
GCA_026770155.1	Scaffold	Universiti Putra Malaysia		72550	Oryctes rhinoceros			Malaysia	true	false	true
GCA_026770175.1	Scaffold	Universiti Putra Malaysia		72550	Oryctes rhinoceros			Malaysia	true	false	true
GCA_000003625.1	Chromosome	The Broad Institute of MIT and Harvard		9986	Oryctolagus cuniculus				true	false	true
GCA_009806435.2	Chromosome	Shanghai Institutes for Biological Sciences		9986	Oryctolagus cuniculus				true	false	true
GCA_047671645.1	Chromosome	Shangdong Agriculture University		9986	Oryctolagus cuniculus			China	true	false	true
GCA_051225735.1	Chromosome	Fujian University of Traditional Chinese Medicine		9986	Oryctolagus cuniculus			China	true	false	true
GCA_964237555.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	9986	Oryctolagus cuniculus	51.73	-2.4	United Kingdom	true	true	true
GCA_964237575.1	Contig	WELLCOME SANGER INSTITUTE		9986	Oryctolagus cuniculus	51.73	-2.4	United Kingdom	true	true	true
GCA_982758555.1	Chromosome	Uppsala University		9986	Oryctolagus cuniculus			Spain	true	false	true
GCA_982769885.1	Chromosome	Uppsala University		9986	Oryctolagus cuniculus			Spain	true	false	true
GCA_013371645.1	Chromosome	Uppsala University		568996	Oryctolagus cuniculus cuniculus				false	false	true
GCA_965218485.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	169492	Orygma luctuosum	54.940556	-1.364444	United Kingdom	true	true	true
GCA_965211945.1	Chromosome	WELLCOME SANGER INSTITUTE		169492	Orygma luctuosum	54.940556	-1.364444	United Kingdom	true	true	true
GCA_965211955.1	Chromosome	WELLCOME SANGER INSTITUTE		169492	Orygma luctuosum	54.940556	-1.364444	United Kingdom	true	true	true
GCA_965218475.1	Scaffold	WELLCOME SANGER INSTITUTE		169492	Orygma luctuosum	54.940556	-1.364444	United Kingdom	true	true	true
GCA_014754425.2	Scaffold	Smithsonian Conservation Biology Institute	reference genome	59534	Oryx dammah			USA	true	false	true
GCA_003945745.1	Scaffold	University of California Davis	reference genome	9958	Oryx gazella				true	false	true
GCA_006410575.1	Scaffold	Northwestern Polytechnical University		9958	Oryx gazella				true	false	true
GCA_047899615.1	Chromosome	King Abdullah University of Science and Technology	reference genome	52545	Oryza alta			Guyana	true	false	true
GCA_057379705.1	Chromosome	Queensland Alliance for Agriculture and Food Innovation	reference genome	4532	Oryza australiensis			Australia	true	false	true
GCA_019925245.2	Contig	University of Adelaide		4532	Oryza australiensis			Australia	true	false	true
GCA_048176765.1	Chromosome	King Abdullah University of Science and Technology		4532	Oryza australiensis			Australia	true	false	true
GCA_051403745.1	Chromosome	Queensland Alliance for Agriculture and Food Innovation		4532	Oryza australiensis			Australia	true	false	true
GCA_051403855.1	Chromosome	Queensland Alliance for Agriculture and Food Innovation		4532	Oryza australiensis			Australia	true	false	true
GCA_055775245.1	Chromosome	zhejiang university	reference genome	65489	Oryza barthii			Guinea	true	false	true
GCA_000182155.4	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project		65489	Oryza barthii				true	false	true
GCA_002926215.1	Scaffold	IRD		65489	Oryza barthii			Chad	true	false	true
GCA_002926235.1	Scaffold	IRD		65489	Oryza barthii			Mali	true	false	true
GCA_003020155.1	Scaffold	IRD		65489	Oryza barthii			Guinea	true	false	true
GCA_051998315.1	Chromosome	zhejiang university		65489	Oryza barthii			Botswana	true	false	true
GCA_051998355.1	Chromosome	zhejiang university		65489	Oryza barthii			Sierra Leone	true	false	true
GCA_051998365.1	Chromosome	zhejiang university		65489	Oryza barthii			Chad	true	false	true
GCA_055690785.1	Chromosome	National Agriculture and Food Research Organization		65489	Oryza barthii				true	false	true
GCA_965117745.1	Scaffold	Institut de recherche pour le developpement		65489	Oryza barthii	48.8566	2.3522	France	true	true	true
GCA_965117785.1	Scaffold	Institut de recherche pour le developpement		65489	Oryza barthii	48.8566	2.3522	France	true	true	true
GCA_965117815.1	Scaffold	Institut de recherche pour le developpement		65489	Oryza barthii	48.8566	2.3522	France	true	true	true
GCA_965117885.1	Scaffold	Institut de recherche pour le developpement		65489	Oryza barthii	48.8566	2.3522	France	true	true	true
GCA_965117935.1	Scaffold	Institut de recherche pour le developpement		65489	Oryza barthii	48.8566	2.3522	France	true	true	true
GCA_965117945.1	Scaffold	Institut de recherche pour le developpement		65489	Oryza barthii	48.8566	2.3522	France	true	true	true
GCA_000231095.3	Chromosome	The Institute of Genetics and Developmental Biology	reference genome	4533	Oryza brachyantha				true	false	true
GCA_000710545.1	Chromosome	The Institute of Genetics and Developmental Biology		4533	Oryza brachyantha				true	false	true
GCA_030770085.1	Chromosome	Chinese Academy of Agricultural Sciences	reference genome	77588	Oryza coarctata			Bangladesh	true	false	true
GCA_009761635.1	Scaffold	National Bureau of Plant Genetic Resources, Pusa, IARI Campus, New Delhi-110012, India.		77588	Oryza coarctata			India	true	false	true
GCA_021398055.1	Scaffold	Jawaharlal Nehru University		77588	Oryza coarctata			India	true	false	true
GCA_036417745.2	Chromosome	University of Arizona		77588	Oryza coarctata			Bangladesh	true	false	true
GCA_000147395.3	Chromosome	The Oryza Map Alignment Project (OMAP)	reference genome	4538	Oryza glaberrima				true	false	true
GCA_051998455.1	Chromosome	zhejiang university		4538	Oryza glaberrima			Nigeria	true	false	true
GCA_051998515.1	Chromosome	zhejiang university		4538	Oryza glaberrima			Senegal	true	false	true
GCA_051998545.1	Chromosome	zhejiang university		4538	Oryza glaberrima			Cameroon	true	false	true
GCA_051998605.1	Chromosome	zhejiang university		4538	Oryza glaberrima			Sierra Leone	true	false	true
GCA_059749825.1	Chromosome	The University of the West Indies		4538	Oryza glaberrima			Trinidad and Tobago	true	false	true
GCA_965117805.1	Scaffold	Institut de recherche pour le developpement		4538	Oryza glaberrima	48.8566	2.3522	France	true	true	true
GCA_965117825.1	Scaffold	Institut de recherche pour le developpement		4538	Oryza glaberrima	48.8566	2.3522	France	true	true	true
GCA_965117845.1	Scaffold	Institut de recherche pour le developpement		4538	Oryza glaberrima	48.8566	2.3522	France	true	true	true
GCA_965117855.1	Scaffold	Institut de recherche pour le developpement		4538	Oryza glaberrima	48.8566	2.3522	France	true	true	true
GCA_965117875.1	Scaffold	Institut de recherche pour le developpement		4538	Oryza glaberrima	48.8566	2.3522	France	true	true	true
GCA_965117905.1	Scaffold	Institut de recherche pour le developpement		4538	Oryza glaberrima	48.8566	2.3522	France	true	true	true
GCA_965117915.1	Scaffold	Institut de recherche pour le developpement		4538	Oryza glaberrima	48.8566	2.3522	France	true	true	true
GCA_965117955.1	Scaffold	Institut de recherche pour le developpement	reference genome	441961	Oryza glaberrima x Oryza sativa	48.8566	2.3522	France	false	true	true
GCA_000576495.2	Chromosome	Oryza Map Alignment Project (OMAP)	reference genome	40148	Oryza glumipatula				true	false	true
GCA_048188845.1	Chromosome	KAUST	reference genome	29690	Oryza grandiglumis	-3.25	-60.6667	Brazil	true	true	true
GCA_048174585.1	Contig	KAUST	reference genome	4534	Oryza latifolia			Cuba	true	false	true
GCA_048014755.1	Chromosome	King Abdullah University of Science and Technology	reference genome	83309	Oryza longiglumis			Philippines	true	false	true
GCA_009805545.1	Chromosome	South China Agricultural University	reference genome	4528	Oryza longistaminata			Botswana	true	false	true
GCA_000789195.1	Scaffold	BGI		4528	Oryza longistaminata			Niger	true	false	true
GCA_001514335.2	Chromosome	Kunming Institute of Zoology, Chinese Academy of Science		4528	Oryza longistaminata			China	true	false	true
GCA_048564985.1	Contig	King Abdullah University of Science and Technology (KAUST)	reference genome	127571	Oryza malampuzhaensis				true	false	true
GCA_047496205.1	Chromosome	University of Queensland	reference genome	40149	Oryza meridionalis			Australia	true	false	true
GCA_000338895.3	Chromosome	Oryza Map Alignment Project (OMAP)		40149	Oryza meridionalis				true	false	true
GCA_001551795.1	Contig	The University of Queensland		40149	Oryza meridionalis			Australia	true	false	true
GCA_047496085.1	Chromosome	University of Queensland		40149	Oryza meridionalis			Australia	true	false	true
GCA_047496185.1	Chromosome	University of Queensland		40149	Oryza meridionalis			Australia	true	false	true
GCA_055690765.1	Chromosome	National Agriculture and Food Research Organization		40149	Oryza meridionalis				true	false	true
GCA_000325645.2	Scaffold	The Oryza Map Alignment Project (OMAP)		110450	Oryza meyeriana var. granulata				false	false	true
GCA_003991445.1	Contig	Yunnan Agricultural University		110450	Oryza meyeriana var. granulata	25.03	98.5	China	false	true	true
GCA_005223365.2	Scaffold	South China Agricultural University		110450	Oryza meyeriana var. granulata				false	false	true
GCA_047899645.1	Chromosome	King Abdullah University of Science and Technology	reference genome	3094834	Oryza meyeriana var. indandamanica			Philippines	false	false	true
GCA_048166525.1	Contig	King Abdullah University of Science and Technology (KAUST)	reference genome	63629	Oryza minuta				true	false	true
GCA_000632695.1	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project		63629	Oryza minuta				true	false	true
GCA_000576065.2	Chromosome	Oryza Map Alignment Project (OMAP)	reference genome	4536	Oryza nivara				true	false	true
GCA_008326285.1	Scaffold	Plant Genetics Laboratory, Genetic Strain Stock Center, National Institute of Genetics, Research Organization of Information and Systems	reference genome	4535	Oryza officinalis				true	false	true
GCA_000717455.1	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project		4535	Oryza officinalis				true	false	true
GCA_000573905.2	Chromosome	The Oryza Map Alignment Project (OMAP)	reference genome	4537	Oryza punctata				true	false	true
GCA_000710525.1	Chromosome	The Oryza Map Alignment Project (OMAP)		4537	Oryza punctata				true	false	true
GCA_047772315.1	Chromosome	King Abdullah University of Science and Technology	reference genome	83308	Oryza ridleyi			Philippines	true	false	true
GCA_037997075.1	Complete Genome	Chinese Academy of Agricultural Sciences	reference genome	4529	Oryza rufipogon			China	true	false	true
GCA_000700045.1	Chromosome	University of Arizona		4529	Oryza rufipogon				true	false	true
GCA_000817225.2	Scaffold	National Center for Gene Research, Chinese Academy of Sciences		4529	Oryza rufipogon				true	false	true
GCA_001551805.1	Contig	The University of Queensland		4529	Oryza rufipogon			Australia	true	false	true
GCA_023541355.1	Chromosome	King Abdullah University of Science and Technology		4529	Oryza rufipogon	-9.2	142.9167	Papua New Guinea	true	true	true
GCA_039619365.1	Chromosome	Chinese Academy of Agricultural Sciences		4529	Oryza rufipogon			China	true	false	true
GCA_039619375.1	Chromosome	Chinese Academy of Agricultural Sciences		4529	Oryza rufipogon			China	true	false	true
GCA_046718175.1	Chromosome	University of Queensland		4529	Oryza rufipogon			Australia	true	false	true
GCA_046718185.1	Chromosome	University of Queensland		4529	Oryza rufipogon			Australia	true	false	true
GCA_046718375.1	Chromosome	University of Queensland		4529	Oryza rufipogon			Australia	true	false	true
GCA_051998695.1	Chromosome	zhejiang university		4529	Oryza rufipogon			Laos	true	false	true
GCA_051998705.1	Chromosome	zhejiang university		4529	Oryza rufipogon			China	true	false	true
GCA_051998715.1	Chromosome	zhejiang university		4529	Oryza rufipogon			Sri Lanka	true	false	true
GCA_051998835.1	Chromosome	zhejiang university		4529	Oryza rufipogon			China	true	false	true
GCA_051998845.1	Chromosome	zhejiang university		4529	Oryza rufipogon			Bangladesh	true	false	true
GCA_051998855.1	Chromosome	zhejiang university		4529	Oryza rufipogon			China	true	false	true
GCA_051999005.1	Chromosome	zhejiang university		4529	Oryza rufipogon			Myanmar	true	false	true
GCA_051999015.1	Chromosome	zhejiang university		4529	Oryza rufipogon			China	true	false	true
GCA_051999025.1	Chromosome	zhejiang university		4529	Oryza rufipogon			China	true	false	true
GCA_055690805.1	Chromosome	National Agriculture and Food Research Organization		4529	Oryza rufipogon				true	false	true
GCA_055690825.1	Chromosome	National Agriculture and Food Research Organization		4529	Oryza rufipogon				true	false	true
GCA_055690845.1	Chromosome	National Agriculture and Food Research Organization		4529	Oryza rufipogon				true	false	true
GCA_055775265.1	Chromosome	zhejiang university		4529	Oryza rufipogon			Nepal	true	false	true
GCA_055775275.1	Chromosome	zhejiang university		4529	Oryza rufipogon			Cambodia	true	false	true
GCA_900609075.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609085.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609095.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609105.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609115.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609125.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609135.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609145.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609155.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609165.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609175.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609185.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609195.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609205.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609215.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609225.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609235.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609245.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609255.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609265.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609275.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609285.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609295.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609305.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609315.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609325.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609335.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609345.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609355.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609365.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609375.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609385.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609395.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609405.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609415.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609425.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609435.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609445.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609455.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609465.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609475.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609485.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609495.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609505.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609515.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609525.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609535.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609545.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609555.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609565.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609575.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609585.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609595.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609605.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609615.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609625.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609635.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
GCA_900609645.1	Contig	HUAZHONG AGRICULTRAL UNIVERSITY		4529	Oryza rufipogon				true	false	true
