assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_050002445.1	Scaffold	BGI Research	reference genome	203222	Bartramia ithyphylla			China	true	false	true
GCA_982555345.1	Scaffold	Center for Evolutionary Hologenomics, University of Copenhagen	reference genome	279933	Bartramia longicauda			Canada	true	false	true
GCA_028566575.1	Scaffold	Iridian Genomes		279933	Bartramia longicauda				true	false	true
GCA_045784545.1	Scaffold	Bird 10,000 Genomes (B10K) consortium		279933	Bartramia longicauda			Canada	true	false	true
GCA_050002155.1	Scaffold	BGI Research	reference genome	1241598	Bartramia mossmaniana			Chile	true	false	true
GCA_980910255.1	Contig	University of Florence	reference genome	3139638	Barusia korculana	42.959451	17.129228	Croatia	true	true	true
GCA_022817705.1	Scaffold	The Ohio State University		2729020	Baryconus sp. ZL-2020			USA	false	false	true
GCA_977993575.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	2680170	Barylypa propugnator	50.98	-1.08	United Kingdom	true	true	true
GCA_977993615.1	Scaffold	WELLCOME SANGER INSTITUTE		2680170	Barylypa propugnator	50.98	-1.08	United Kingdom	true	true	true
GCA_963991005.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	397350	Barypeithes pellucidus	51.769	-1.341	United Kingdom	true	true	true
GCA_963992275.1	Contig	WELLCOME SANGER INSTITUTE		397350	Barypeithes pellucidus	51.769	-1.341	United Kingdom	true	true	true
GCA_013396935.1	Scaffold	B10K Consortium	reference genome	176943	Baryphthengus martii	9.24	-82.26	Panama	true	true	true
GCA_040869075.1	Chromosome	Northeast Normal University	reference genome	2980436	Baryscapus dioryctriae			China	true	false	true
GCA_055755435.1	Contig	University of California Riverside	reference genome	1230402	Basidioascus undulatus			Canada	true	false	true
GCA_000826855.1	Scaffold	University of Ottawa		1230402	Basidioascus undulatus			Canada	true	false	true
GCA_000697455.1	Contig	IGS	reference genome	1357690	Basidiobolus heterosporus B8920			India	false	false	true
GCA_000697375.1	Contig	IGS		1357683	Basidiobolus meristosporus B9252			Saudi Arabia	false	false	true
GCA_002104905.1	Contig	DOE Joint Genome Institute	reference genome	1314790	Basidiobolus meristosporus CBS 931.73				false	false	true
GCA_040143965.1	Contig	University of California, Riverside	reference genome	34480	Basidiobolus ranarum				true	false	true
GCA_059548135.1	Scaffold	Clark University		3395435	Basidiobolus sp. ARSEF 270	39.00205883	-77.10444	USA	false	true	true
GCA_059548115.1	Scaffold	Clark University		3395438	Basidiobolus sp. ARSEF 9891			Malaysia	false	false	true
GCA_059548095.1	Scaffold	Clark University		3395440	Basidiobolus sp. ARSEF 9894			United Kingdom	false	false	true
GCA_059548075.1	Scaffold	Clark University		3395442	Basidiobolus sp. ARSEF 9899			United Kingdom	false	false	true
